assetId,sourceCategory,runtimeFilename,runtimeBytes,triangleCount,materialCount,textureCount,duplicateStatus,matchedWith
dresser_022,dresser,runtime-assets/dresser_022.glb,234512,458,3,3,intentional_variant,
dresser_023,dresser,runtime-assets/dresser_023.glb,298376,378,4,4,intentional_variant,
dresser_024,dresser,runtime-assets/dresser_024.glb,171444,324,3,3,intentional_variant,
dresser_025,dresser,runtime-assets/dresser_025.glb,341828,216,3,5,intentional_variant,
dresser_026,dresser,runtime-assets/dresser_026.glb,8040,128,1,1,metric_near_duplicate_candidate,dresser_027
dresser_027,dresser,runtime-assets/dresser_027.glb,8040,128,1,1,metric_near_duplicate_candidate,dresser_026
dresser_028,dresser,runtime-assets/dresser_028.glb,8040,128,1,1,metric_near_duplicate_candidate,dresser_026
dresser_029,dresser,runtime-assets/dresser_029.glb,37292,824,2,1,intentional_variant,
dresser_030,dresser,runtime-assets/dresser_030.glb,36132,824,1,1,intentional_variant,
dresser_031,dresser,runtime-assets/dresser_031.glb,35720,610,2,1,intentional_variant,
dresser_083,dresser,runtime-assets/dresser_083.glb,213216,232,2,3,intentional_variant,
dresser_084,dresser,runtime-assets/dresser_084.glb,235048,610,3,3,intentional_variant,
dresser_085,dresser,runtime-assets/dresser_085.glb,225468,458,3,3,intentional_variant,
electronics,electronics,runtime-assets/electronics.glb,6892,60,2,1,intentional_variant,
electronics_027,electronics,runtime-assets/electronics_027.glb,40200,640,3,1,intentional_variant,
electronics_028,electronics,runtime-assets/electronics_028.glb,35596,566,3,1,intentional_variant,
electronics_029,electronics,runtime-assets/electronics_029.glb,125460,932,6,2,intentional_variant,
electronics_030,electronics,runtime-assets/electronics_030.glb,236324,820,5,3,intentional_variant,
electronics_031,electronics,runtime-assets/electronics_031.glb,234244,500,5,4,intentional_variant,
electronics_032,electronics,runtime-assets/electronics_032.glb,34228,514,3,1,intentional_variant,
electronics_033,electronics,runtime-assets/electronics_033.glb,14140,182,3,1,intentional_variant,
electronics_034,electronics,runtime-assets/electronics_034.glb,27028,608,2,1,intentional_variant,
electronics_035,electronics,runtime-assets/electronics_035.glb,32168,638,5,1,intentional_variant,
electronics_036,electronics,runtime-assets/electronics_036.glb,125156,986,6,2,intentional_variant,
electronics_037,electronics,runtime-assets/electronics_037.glb,121852,932,3,2,intentional_variant,
